,appearances,assist,assistCorner,assistCross,assistFreekick,assistOther,assistThroughball,assistThrowin,challengeLost,clearanceTotal,dispossessed,dribbleLost,dribbleTotal,dribbleWon,duelAerialLost,duelAerialTotal,duelAerialWon,foulCommitted,foulGiven,goalObox,goalPenaltyArea,goalSixYardBox,goalTotal,interceptionAll,keyPassLong,keyPassShort,keyPassesTotal,mins,offsideGiven,outfielderBlock,outfielderBlockedPass,passCrossBlockedDefensive,passLongBallAccurate,passLongBallInaccurate,passTotal,rating,redCard,saveObox,savePenaltyArea,saveSixYardBox,saveTotal,shortPassAccurate,shortPassInaccurate,shotOboxTotal,shotPenaltyArea,shotSixYardBox,shotsTotal,tackleTotalAttempted,tackleWonTotal,team,turnover,yellowCard
Derek Cornelius ,12.0,0,0,0,0,0,0,0,0.3,7.3,0.1,0.1,0.2,0.1,1.6,3.0,1.5,1.5,0.2,0,0,0,0,0.4,0,0.2,0.2,1036.0,0.1,1.5,0.3,0.3,1.7,3.9,38.7,6.32,0,0,0,0,0,29.6,3.6,0,0.1,0.2,0.3,1.4,1.0,"Vancouver Whitecaps, ",0.5,0.3
Brendan McDonough ,1.0,0,0,0,0,0,0,0,0,2.7,0,0,0,0,1.4,4.1,2.7,0,1.4,0,0,0,0,0,0,0,0,66.0,0,5.5,0,0,2.7,2.7,46.4,6.26,0,0,0,0,0,39.5,1.4,0,0,0,0,0,0,"Vancouver Whitecaps, ",0,0
Antonio Mlinar Delamea ,11.0,0.1,0,0,0,0.1,0,0,0.6,3.9,0,0,0.1,0.1,1.7,3.8,2.0,1.6,0.6,0,0.2,0,0.2,2.0,0,0.1,0.1,980.0,0,1.1,0.5,0.5,2.9,1.9,39.2,6.89,0,0,0,0,0,31.2,3.1,0,0.5,0.1,0.6,2.2,1.6,"New England Revolution, ",0.1,0.5
Diego Polenta ,18.0,0.1,0,0,0,0.1,0,0,1.4,4.1,0.1,0.1,0.5,0.4,0.9,2.6,1.7,0.9,0.7,0,0.1,0,0.1,0.7,0.4,0,0.4,1620.0,0,0.8,0.6,0.3,4.2,3.9,47.5,6.79,0,0,0,0,0,34.7,4.7,0.1,0.4,0.1,0.7,3.7,2.3,"LA Galaxy, ",0.3,0.3
Kamal Miller ,6.0,0,0,0,0,0,0,0,0.5,4.2,0,0,0.2,0.2,1.0,2.0,1.0,0.2,0.2,0,0,0,0,1.2,0,0,0,540.0,0,0.5,0.2,0,1.8,5.3,40.5,6.44,0,0,0,0,0,29.3,4.0,0,0,0,0,1.5,1.0,"Orlando City, ",0.5,0
Grant Lillard ,1.0,0,0,0,0,0,0,0,0,7.0,0,0,0,0,3.0,4.0,1.0,0,1.0,0,0,0,0,0,0,0,0,90.0,0,0,0,0,4.0,7.0,43.0,6.17,0,0,0,0,0,30.0,2.0,0,0,0,0,2.0,2.0,"Chicago Fire, ",1.0,0
Alex Crognale ,9.0,0,0,0,0,0,0,0,0.4,3.1,0.2,0.1,0.1,0,1.2,3.0,1.8,1.1,0.8,0,0,0,0,0.8,0,0.1,0.1,810.0,0,1.0,0.1,0.1,4.8,3.7,39.0,6.37,0,0,0,0,0,27.0,3.6,0,0,0.3,0.3,1.4,1.0,"Columbus Crew, ",0.2,0.6
Tony Rocha ,1.0,0,0,0,0,0,0,0,0,2.0,2.0,0,0,0,2.0,2.0,0,0,0,0,0,0,0,3.9,0,0,0,46.0,0,0,0,0,3.9,2.0,58.7,5.76,0,0,0,0,0,45.0,7.8,0,0,0,0,0,0,"New York City FC, ",0,0
Kofi Opare ,3.0,0,0,0,0,0,0,0,0,3.7,0,0,0,0,3.0,7.3,4.3,0.3,0.3,0,0,0,0,0.3,0,0,0,270.0,0,0.3,0,0,0,0.7,36.3,6.1,0,0,0,0,0,30.3,5.3,0,0.7,0,0.7,0.7,0.7,"Colorado Rapids, ",0.7,0
Jalil Anibaba ,16.0,0,0,0,0,0,0,0,0.4,3.9,0,0.1,0.2,0.1,1.3,3.7,2.4,0.6,0.5,0,0.1,0,0.1,1.9,0,0,0,1439.0,0,1.0,0.8,0.1,3.8,6.4,33.0,6.73,0.1,0,0,0,0,18.8,4.0,0.1,0.3,0,0.3,1.8,1.3,"New England Revolution, ",0.4,0.1
Drew Moor ,11.0,0,0,0,0,0,0,0,0.5,1.5,0.1,0.1,0.2,0.1,1.5,3.1,1.6,0.7,0.4,0,0,0,0,0.6,0,0.1,0.1,990.0,0.1,0.6,0,0.1,3.3,1.5,57.9,6.34,0,0,0,0,0,49.5,3.6,0,0.1,0,0.1,2.1,1.5,"Toronto FC, ",0.4,0.2
Alejandro Fuenmayor ,5.0,0.2,0,0,0,0.2,0,0,1.3,3.6,0.4,0,0,0,1.0,2.7,1.7,1.7,1.3,0,0,0,0,1.9,0,0.2,0.2,429.0,0,0.8,0,0.2,3.1,5.0,47.0,6.56,0,0,0,0,0,35.9,2.9,0,0,0.6,0.6,2.9,1.7,"Houston Dynamo, ",0.4,0.6
