,appearances,assist,assistCorner,assistCross,assistFreekick,assistOther,assistThroughball,assistThrowin,challengeLost,clearanceTotal,dispossessed,dribbleLost,dribbleTotal,dribbleWon,duelAerialLost,duelAerialTotal,duelAerialWon,foulCommitted,foulGiven,goalObox,goalPenaltyArea,goalSixYardBox,goalTotal,interceptionAll,keyPassLong,keyPassShort,keyPassesTotal,mins,offsideGiven,outfielderBlock,outfielderBlockedPass,passCrossBlockedDefensive,passLongBallAccurate,passLongBallInaccurate,passTotal,rating,redCard,saveObox,savePenaltyArea,saveSixYardBox,saveTotal,shortPassAccurate,shortPassInaccurate,shotOboxTotal,shotPenaltyArea,shotSixYardBox,shotsTotal,tackleTotalAttempted,tackleWonTotal,team,turnover,yellowCard
Franco Escobar ,4.0,0,0,0,0,0,0,0,0.5,1.5,0.3,0.3,1.0,0.8,1.3,3.0,1.8,1.3,0.5,0,0,0,0,1.5,0.3,0,0.3,360.0,0,0.3,0.5,0,2.8,3.5,51.8,6.77,0,0,0,0,0,39.0,6.5,0,0.3,0.3,0.5,3.0,2.5,"Atlanta United, ",1.0,0
Erik Godoy ,26.0,0,0,0,0,0,0,0,0.3,4.3,0.1,0.1,0.3,0.2,1.2,2.7,1.4,1.1,0.3,0,0,0,0,1.2,0.1,0.1,0.2,2340.0,0,1.2,0.3,0,4.4,5.2,47.1,6.59,0,0,0,0,0,34.0,3.5,0.1,0.3,0,0.4,1.8,1.5,"Vancouver Whitecaps, ",0.3,0.2
Leandro González Pirez ,26.0,0,0,0,0,0,0,0,0.8,2.5,0.6,0.3,1.2,1.0,1.3,3.6,2.3,1.6,1.7,0,0,0,0,1.8,0.1,0.2,0.4,2251.0,0,0.5,0.6,0.1,7.0,5.3,66.4,6.98,0,0,0,0,0,48.9,5.2,0.2,0.5,0,0.7,3.2,2.4,"Atlanta United, ",0.7,0.4
Gastón Sauro ,15.0,0,0,0,0,0,0,0,0.2,2.7,0.1,0.1,0.1,0.1,1.1,3.9,2.7,1.1,0.3,0,0,0.1,0.1,1.8,0,0.3,0.3,1285.0,0,0.4,0.6,0,2.4,2.5,45.9,6.67,0,0,0,0,0,38.2,2.9,0,0.4,0.4,0.8,1.9,1.7,"Columbus Crew, ",0.4,0.3
Laurent Ciman ,13.0,0,0,0,0,0,0,0,1.3,3.6,0.1,0,0.4,0.4,1.2,2.7,1.5,0.9,0.1,0,0,0,0,1.3,0,0.1,0.1,1114.0,0.1,0.6,0.2,0.3,7.1,3.6,56.1,6.61,0,0,0,0,0,42.5,2.9,0.4,0.4,0,0.8,2.6,1.3,"Toronto FC, ",0.2,0.2
Marcelo ,11.0,0,0,0,0,0,0,0,1.0,,0.2,0,0,0,1.6,4.3,2.6,1.3,0.5,,,,,1.5,0,0,0,990.0,0,0.5,0.3,0,3.8,5.1,45.7,6.53,,0,0,0,0,32.2,4.6,0,0.4,0.1,0.5,3.3,2.3,"Chicago Fire, ",0.5,
Auro ,1.0,1.0,0,1.0,0,0,0,0,,6.0,0,0,0,0,1.0,2.0,1.0,,,0,0,0,0,1.0,1.0,1.0,2.0,90.0,,,,,4.0,5.0,58.0,7.12,,,,,,47.0,2.0,0,0,0,0,,,"Toronto FC, ",1.0,
Bressan ,6.0,,,,,,,,1.2,3.3,0.4,0,0.2,0.2,1.6,3.5,1.9,1.9,0.5,0,0,0,0,3.2,,,,511.0,0,0.7,0.5,0,,,,6.85,0,0,0,0,0,,,0,0.5,0,0.5,4.9,3.7,"FC Dallas, ",0.5,0.2
Danilo Silva ,1.0,0,0,0,0,0,0,0,0,4.0,0,0,2.0,2.0,0,0,0,3.0,0,0,0,0,0,1.0,0,0,0,90.0,0,0,1.0,0,5.0,5.0,68.0,6.66,0,0,0,0,0,55.0,3.0,0,0,0,0,2.0,2.0,"Los Angeles FC, ",0,1.0
Liam Fraser ,1.0,0,0,0,0,0,0,0,0,4.0,0,0,0,0,0,0,0,2.0,0,0,0,0,0,1.0,0,0,0,90.0,0,0,0,0,8.0,4.0,47.0,6.55,0,0,0,0,0,33.0,2.0,0,0,0,0,3.0,3.0,"Toronto FC, ",1.0,0
